monster_id,action_type,action_name,damage_type,attack_bonus,damage_dice,dc_type,dc_value,multi_attack,multi_attack_descrip,descrip
ancient-black-dragon,actions,Frightful Presence,,,,WIS,19.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
ancient-black-dragon,actions,Acid Breath,Acid,,15d8,DEX,22.0,,,"The dragon exhales acid in a 90-foot line that is 10 feet wide. Each creature in that line must make a DC 22 Dexterity saving throw, taking 67 (15d8) acid damage on a failed save, or half as much damage on a successful one."
ancient-blue-dragon,actions,Bite,Piercing & Lightning,16.0,2d10+9 + 2d10,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +16 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) piercing damage plus 11 (2d10) lightning damage."
ancient-blue-dragon,actions,Claw,Slashing,16.0,2d6+9,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 16 (2d6 + 9) slashing damage."
ancient-blue-dragon,actions,Tail,Bludgeoning,16.0,2d8+9,,,,,"Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 18 (2d8 + 9) bludgeoning damage."
ancient-blue-dragon,actions,Frightful Presence,,,,WIS,20.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
ancient-blue-dragon,actions,Lightning Breath,Lightning,,16d10,DEX,23.0,,,"The dragon exhales lightning in a 120-foot line that is 10 feet wide. Each creature in that line must make a DC 23 Dexterity saving throw, taking 88 (16d10) lightning damage on a failed save, or half as much damage on a successful one."
ancient-brass-dragon,actions,Bite,Piercing,14.0,2d10+8,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage."
ancient-brass-dragon,actions,Claw,Slashing,14.0,2d6+8,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage."
ancient-brass-dragon,actions,Tail,Bludgeoning,14.0,2d8+8,,,,,"Melee Weapon Attack: +14 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage."
ancient-brass-dragon,actions,Frightful Presence,,,,WIS,18.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
ancient-brass-dragon,actions,Change Shape,,,,,,,,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form."
ancient-bronze-dragon,actions,Bite,Piercing,16.0,2d10+9,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +16 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) piercing damage."
ancient-bronze-dragon,actions,Claw,Slashing,16.0,2d6+9,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 16 (2d6 + 9) slashing damage."
ancient-bronze-dragon,actions,Tail,Bludgeoning,16.0,2d8+9,,,,,"Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 18 (2d8 + 9) bludgeoning damage."
ancient-bronze-dragon,actions,Frightful Presence,,,,WIS,20.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
ancient-bronze-dragon,actions,Change Shape,,,,,,,,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form."
ancient-copper-dragon,actions,Bite,Piercing,15.0,2d10+8,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage."
ancient-copper-dragon,actions,Claw,Slashing,15.0,2d6+8,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage."
ancient-copper-dragon,actions,Tail,Bludgeoning,15.0,2d8+8,,,,,"Melee Weapon Attack: +15 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage."
ancient-copper-dragon,actions,Frightful Presence,,,,WIS,19.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
ancient-copper-dragon,actions,Change Shape,,,,,,,,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form."
ancient-gold-dragon,actions,Bite,Piercing,17.0,2d10+10,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage."
ancient-gold-dragon,actions,Claw,Slashing,17.0,2d6+10,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage."
ancient-gold-dragon,actions,Tail,Bludgeoning,17.0,2d8+10,,,,,"Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage."
ancient-gold-dragon,actions,Frightful Presence,,,,WIS,24.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 24 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
ancient-gold-dragon,actions,Change Shape,,,,,,,,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form."
ancient-green-dragon,actions,Bite,Piercing & Poison,15.0,2d10+8 + 3d6,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 10 (3d6) poison damage."
ancient-green-dragon,actions,Claw,Slashing,15.0,4d6+8,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 22 (4d6 + 8) slashing damage."
ancient-green-dragon,actions,Tail,Bludgeoning,15.0,2d8+8,,,,,"Melee Weapon Attack: +15 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage."
ancient-green-dragon,actions,Frightful Presence,,,,WIS,19.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
ancient-green-dragon,actions,Poison Breath,Poison,,22d6,CON,22.0,,,"The dragon exhales poisonous gas in a 90-foot cone. Each creature in that area must make a DC 22 Constitution saving throw, taking 77 (22d6) poison damage on a failed save, or half as much damage on a successful one."
ancient-red-dragon,actions,Bite,Bludgeoning & Fire,17.0,2d10+10 + 4d6,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage plus 14 (4d6) fire damage."
ancient-red-dragon,actions,Claw,Slashing,17.0,2d6+10,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage."
ancient-red-dragon,actions,Tail,Bludgeoning,17.0,2d8+10,,,,,"Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage."
ancient-red-dragon,actions,Frightful Presence,,,,WIS,21.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
ancient-red-dragon,actions,Fire Breath,Fire,,26d6,DEX,24.0,,,"The dragon exhales fire in a 90-foot cone. Each creature in that area must make a DC 24 Dexterity saving throw, taking 91 (26d6) fire damage on a failed save, or half as much damage on a successful one."
ancient-silver-dragon,actions,Bite,Piercing,17.0,2d10+10,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage."
